sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:56:53.409175+00:00,humidity,67.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:56:53.409175+00:00,temperature,25.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:01:54.705367+00:00,P2,12.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:01:54.705367+00:00,P1,23.27
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:01:57.526779+00:00,humidity,67.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:01:57.526779+00:00,temperature,25.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:04:27.011020+00:00,P2,9.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:04:27.011020+00:00,P1,18.43
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:04:28.361993+00:00,humidity,68.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:04:28.361993+00:00,temperature,25.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:09:30.906445+00:00,P2,9.23
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:09:30.906445+00:00,P1,12.07
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:12:04.314397+00:00,P2,6.67
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:12:04.314397+00:00,P1,9.47
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:12:06.289749+00:00,humidity,70.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:12:06.289749+00:00,temperature,25.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:14:36.424681+00:00,P2,6.97
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:14:36.424681+00:00,P1,15.27
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:14:39.465445+00:00,humidity,71.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:14:39.465445+00:00,temperature,25.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:17:11.082001+00:00,P2,8.63
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:17:11.082001+00:00,P1,13.03
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:17:13.288541+00:00,humidity,73.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:17:13.288541+00:00,temperature,24.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:19:47.465967+00:00,humidity,75.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:19:47.465967+00:00,temperature,24.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:22:13.892047+00:00,P2,7.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:22:13.892047+00:00,P1,16.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:22:17.167682+00:00,humidity,77.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:22:17.167682+00:00,temperature,23.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:24:48.587290+00:00,P2,7.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:24:48.587290+00:00,P1,12.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:24:51.706402+00:00,humidity,78.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:24:51.706402+00:00,temperature,23.6
